"page_number","taxon"
"805","Cape May Warbler"
"806","Northern Parula"
"807","Magnolia Warbler"
"808","Bay-breasted Warbler"
"809","Blackburnian Warbler"
"810","Yellow Warbler"
"811","Yellow Warbler (Northern)"
"812","Chestnut-sided Warbler"
"813","Blackpoll Warbler"
"814","Black-throated Blue Warbler"
"815","Palm Warbler"
"816","Palm Warbler (Western)"
"817","Yellow-rumped Warbler"
"818","Yellow-rumped Warbler (Myrtle)"
"819","Yellow-rumped Warbler (Audubon's)"
"820","Yellow-rumped Warbler (Myrtle x Audubon's)"
"821","Yellow-throated Warbler"
"822","Prairie Warbler"
"823","Black-throated Gray Warbler"
"824","Townsend's Warbler"
"825","Black-throated Gray/Townsend's Warbler"
"826","Hermit Warbler"
"827","Townsend's x Hermit Warbler (hybrid)"
"828","Black-throated Gray/Hermit Warbler"
"829","Townsend's/Hermit Warbler"
"830","Black-throated Green Warbler"
"831","Setophaga sp."
"832","Canada Warbler"
"833","Wilson's Warbler"
"834","Painted Redstart"
"835","warbler sp. (Parulidae sp.)"
"836","Summer Tanager"
"837","Western Tanager"
"838","Rose-breasted Grosbeak"
"839","Black-headed Grosbeak"
"840","Blue Grosbeak"
"841","Lazuli Bunting"
"842","Indigo Bunting"
"843","Lazuli x Indigo Bunting (hybrid)"
"844","Lazuli/Indigo Bunting"
"845","Painted Bunting"
"846","Dickcissel"
"847","House Sparrow"
"848","passerine sp."
"849","bird sp."
